id,email,first_name,last_name,services_loyalty_points,purchases_loyalty_points,total_loyalty_points
e0779fa6-7635-4df6-b906-d0d665ce5044,neta@schroederlittle.biz,Tinisha,Roob,425,100,525
104fdf33-c8a2-4f1c-b371-3e9c2facdfa0,glen@cummerata.co,Gordon,Hammes,440,30,470
8c4ee803-4c54-4087-a17f-9c53041d35c9,bernardo@reinger.info,Roberto,Turner,360,65,425
08ced56c-f223-4f41-b5dc-76eb6fa15b93,arlenmurray@hyattschiller.io,Lanell,Dickinson,365,60,425
6907ef58-5db5-4cd0-b740-ea166093bcab,randallortiz@white.net,Sharla,Turner,330,90,420
1f0bf5b2-9e9e-4f8d-b07a-ec330e1ad2cb,santiagorippin@roobfriesen.net,Lacy,Fadel,345,70,415
9df98732-1696-45d4-b055-672909bf295c,jame@cruickshank.name,Bob,Padberg,300,110,410
65b27e1c-d8be-4a35-be9f-89af57356e2c,jeffrey@glover.info,Irwin,Johnston,330,70,400
20b469e2-c9f7-49f3-bd3a-e79fe8180d8a,stanfordframi@stamm.biz,Arnold,Luettgen,390,10,400
88341059-ecaa-44cc-912e-669a4fbbd63e,sharrongoldner@predovic.org,Eldridge,Jenkins,330,70,400
936a1aba-a8b2-4d3e-9872-06ff2fec8ab0,chang@blick.net,Katelyn,Hartmann,315,55,370
4af9418c-ccd5-4c84-b3b2-ead29e3b549c,claudio@monahan.org,Marcel,Quitzon,360,0,360
5874a4fc-d96c-426f-8ae8-c7dfa5b60c3e,howardhickle@fay.org,Isiah,Rowe,290,65,355
773bac3b-43da-46c7-8117-8d19142e68f7,nealprice@goldner.biz,Toby,Von,255,85,340
8f90ea2c-e518-4606-a02d-8c472973ea40,sumikolynch@pollich.com,Ernesto,Kris,260,65,325
a8aa2ef8-4b39-490d-83d0-78298d2dfe0f,laurice@leuschke.co,Johana,McLaughlin,230,65,295
101366e7-9d33-4c36-ad01-173b2d061b1f,samualledner@kling.com,Jeffry,Smith,245,45,290
db453d54-d7ef-4cc3-b342-52b80fa0936a,bernardowalker@collins.name,Mckinley,Greenholt,235,40,275
e78bdec6-8c8e-42e8-8e0b-f3f9657f4181,bennie@casperbraun.com,Frances,Muller,265,10,275
6fbd3276-6240-4180-8905-8f4287fded83,chaidycremin@fahey.name,Isreal,Gleason,215,45,260
9bcb8313-24b8-4e1f-8abf-47cd05e93b06,dennissatterfield@boyer.org,Lavonda,Deckow,250,10,260
da076851-9b11-46dc-8da0-1da71bf7d909,kirsten@larkinrosenbaum.biz,Roxie,Rau,190,55,245
7f71a7f3-629b-42c2-a903-9460bf6b1891,waipacocha@morar.net,Tora,Runolfsdottir,190,45,235
6db46ac7-105f-415f-91e3-bf1f7fdc2b19,moira@thompson.io,Salvatore,Feest,170,65,235
96d8e298-983a-4232-b0fd-57535eead76a,timmybaumbach@reynolds.info,Jazmine,Greenholt,205,20,225
dce75599-0164-49da-b266-74026ea078d4,michalekirlin@gerhold.co,Marshall,Collins,160,65,225
64ae7be5-1a3f-4b98-9392-99993c9821a7,cliffschuster@gutmann.co,Ira,Casper,190,25,215
9707e334-5949-4b8f-af5b-e1e8e8afdb94,everettabshire@hermannwalsh.biz,Lovetta,Corwin,200,15,215
d94ad66f-f1d1-46ad-aaaf-423965dba2fa,jamal@king.org,Maranda,Hayes,180,30,210
18e928f0-dfe6-4609-9a8b-072de89bc3cb,doylewaters@strosin.co,Felipe,Walsh,160,50,210
e6ff36d4-3607-4ef5-9ce8-54442b303e80,hsiu@kertzmann.org,Gary,Satterfield,120,90,210
eeb0028d-bf24-4cf7-a28f-fe90b7674b34,nathaniel@dickens.name,Roselyn,Larkin,170,35,205
d0195d5b-b4c6-43fc-a204-0f23e4da121f,jaquelynwisozk@reinger.info,Nelda,Schimmel,185,20,205
549b0574-ae7d-441b-8c67-bc2f98cc753a,trangbechtelar@ortizdubuque.biz,Flora,West,155,45,200
21145506-548b-472c-bcac-8672f940e5bd,marcos@ruecker.com,Lorette,Hilll,180,20,200
4f147eda-3805-4cc7-a9aa-a1163ac547b0,mitchell@leffler.com,Blake,Reynolds,140,60,200
263f67fa-ce8f-447b-98cf-317656542216,romeorunolfon@corwin.co,Krystle,Harvey,180,10,190
379eac1e-1c79-4478-b83e-17a726d154a7,dillondietrich@quigley.com,Cedric,Volkman,165,10,175
690133c1-785c-49b1-8c59-4416a8545260,ivan@bruen.name,Michael,Orn,150,25,175
aaa9abe4-53cb-47a5-87e6-c56a4496e9f4,omerullrich@buckridge.name,Abram,Gutkowski,125,45,170
a2c709ef-82a5-4d94-8bc7-138619ca5deb,jeoconnell@armstrong.name,Alysha,Ortiz,110,60,170
271c2bb5-689f-4a00-a552-83605affe02b,juliandibbert@rodriguez.org,Cecil,Gutkowski,100,70,170
c3e713ef-f6e6-4570-b481-2c3926df406f,andrew@donnellyfriesen.io,Lonny,Wilderman,130,20,150
de383a04-ba82-4441-87be-7bf9b81fe92d,marleen@hauck.io,Laila,Willms,150,0,150
4e2d21e8-180c-4ea9-8384-0b17b4673473,makeda@wiza.io,Brooke,Pfannerstill,145,0,145
1b367dbb-8671-435f-a38f-afd71483ee30,lucienruecker@willms.info,Jacquie,Feest,90,55,145
e318192c-e6c7-4b38-bc83-591f54f6d5ab,carmel@senger.io,Tiffany,Marquardt,100,35,135
0296c403-c298-4ccd-acd6-422cf9d27728,roslyn@jaskolski.net,Oleta,Maggio,95,30,125
0d64d654-e493-4165-830a-098030e9a5ce,eieschumm@bahringer.io,Jaime,Hagenes,90,35,125
35455af2-17d4-4790-8f59-c2790fcaf259,zandra@larsonrobel.info,Francina,Raynor,75,50,125
